,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frank_Breakfast_Ropa Vieja,Frank,Breakfast,Mainline,Ropa Vieja,85.00 FHP2,147.68,11,4.24,NA,38.11,140.97,2.2,0.59,0.95,NA,9.62,181.44,15.6,13.01,1.32,0.81,0,N/A,N/A,,"Beef, Diced Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Citric Acid, Red Onion, Green Bell Pepper, Yellow Bell Pepper, Red Bell Pepper, Green Olives, Water, Salt, Tomatoes, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Garlic, Water, Kosher Salt, Black Pepper, Dried Oregano, Cumin, Beef Base (Roasted Beef And Natural Juices, Maltodextrin, Salt, Cane Sugar, Beef Stock, Beef Fat, Yeast Extract, Potato Starch, Celery Concentrate, Dried Garlic, Dried Onion, Caramel Color, Natural Flavor), Bay Leaf"
Frank_Breakfast_Mushroom Ropa Vieja/Hotel Pan,Frank,Breakfast,Mainline,Mushroom Ropa Vieja/Hotel Pan,113.40 FHP2,33.5,1.01,0.15,0,0,173.89,5.47,1.65,2.84,NA,1.83,314.37,29.47,12.18,0.49,238.91,6.53,N/A,N/A,Soy,"Portobello Mushroom, Water, Green Bell Pepper, Diced Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Citric Acid, Red Onion, Yellow Bell Pepper, Red Bell Pepper, Green Olives, Water, Salt, Tomatoes, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice, Garlic, Kosher Salt, Black Pepper, Cumin, Dried Oregano, Bay Leaf"
Frank_Breakfast_Steamed Jasmine Rice,Frank,Breakfast,Mainline,Steamed Jasmine Rice,85.05 FHP2,96.78,0,0,NA,0,2.07,22.58,0,0,NA,1.61,0,0,1.56,0,0,0,N/A,N/A,,"Water, White Scented Jasmine Rice"
Frank_Breakfast_Steamed Spinach,Frank,Breakfast,Mainline,Steamed Spinach,85.00 FHP2,16.29,0.28,0.04,NA,0,55.96,2.57,1.56,0.3,NA,2.03,6642.04,19.9,70.12,1.92,395.25,0,N/A,N/A,,Spinach
Frank_Breakfast_Baked Plantains,Frank,Breakfast,Mainline,Baked Plantains,85.05 FHP2,153.09,2.98,0.43,0,0,21.26,28.92,1.7,20.41,NA,1.7,425.25,0,0,0.92,0,0,N/A,N/A,,"Plantain (Ripe Plantains, Vegetable Oil)"
Frank_Breakfast_Allergen Friendly Station,Frank,Breakfast,Expo Station,Allergen Friendly Station,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Thai Chicken Curry Bowl,Frank,Breakfast,Expo Station,Thai Chicken Curry Bowl,226.00 FHP2,258.1,12.14,3.68,0.04,59.46,224.75,22.23,2.46,5.39,NA,15.42,669.97,41.89,34.92,1.75,79.99,0,N/A,N/A,,"Chicken Skinless Thigh;Water;Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (preservative).);Snap Peas;Bean Sprouts;Scallions;White Scented Jasmine Rice;Yellow Bell Pepper;Red Bell Pepper;Water, onion, dried chilli, lemon grass, salt, sugar, tamarind puree, modified tapioca starch, garlic, kaffir lime leaves, coriander, Bird`s Eye Chilli;Canola Oil;Japanese Eggplant;Brown Sugar;Cornstarch;Kosher Salt;Black Pepper;Garlic;Thai Basil;"
Frank_Breakfast_Thai Tofu Curry Bowl,Frank,Breakfast,Expo Station,Thai Tofu Curry Bowl,238.00 SERV,280.09,14.8,4.25,0.03,0,114.96,28.38,3.72,7.14,NA,10.56,647.29,50.7,325.75,2.15,36.15,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate);Water;White Onion;Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (preservative).);Bean Sprouts;Snap Peas;White Scented Jasmine Rice;Yellow Bell Pepper;Red Bell Pepper;Water, onion, dried chilli, lemon grass, salt, sugar, tamarind puree, modified tapioca starch, garlic, kaffir lime leaves, coriander, Bird`s Eye Chilli;Canola Oil;Brown Sugar;Thai Basil;"
Frank_Breakfast_Zero Zone (Descr),Frank,Breakfast,Expo Station,Zero Zone (Descr),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Grilled Halal Chicken Breast,Frank,Breakfast,Expo Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frank_Breakfast_Teff/Cooked,Frank,Breakfast,Expo Station,Teff/Cooked,5108.95 FHP2,7549.85,0,0,NA,0,113.759,1660.91,151.074,NA,NA,301.922,NA,NA,3105.21,NA,6.28E-08,6.28E-08,N/A,N/A,,Water;Brown Teff;
Frank_Breakfast_Bean/Cannellini/Cooked,Frank,Breakfast,Expo Station,Bean/Cannellini/Cooked,85.00 LB,291.43,0,0,0,0,24.28,51,21.85,2.43,NA,19.43,0,2.92,145.72,6.55,NA,NA,N/A,N/A,,Cannelinni Beans
Frank_Breakfast_Roasted Yellow Squash  Zucchini,Frank,Breakfast,Expo Station,Roasted Yellow Squash  Zucchini,85.00 FHP2,18.4,0.57,0.11,NA,0,52.57,3,0.98,2.15,NA,1.12,183.63,15.99,14.49,0.34,119.61,0,N/A,N/A,,"Zucchini, Yellow Squash, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Kosher Salt, Black Pepper"
Frank_Breakfast_Red Pepper Coulis,Frank,Breakfast,Expo Station,Red Pepper Coulis,20.59 SERV,12.5085,0.872478,0.124995,NA,NA,78.894,0.882384,0.178314,0.0774996,NA,0.167008,278.304,18.4522,3.25976,0.117183,2.53E-10,2.53E-10,N/A,N/A,,"Roasted Peppers, Water, Salt, Citric Acid;Shallots;Extra Virgin Olive Oil;Red Wine Vinegar, Water, Potassium Metabisulfite.;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;Kosher Salt;White Pepper;"
Frank_Breakfast_BZ Iced Banapple Turmeric Smoothie,Frank,Breakfast,Pizza,BZ Iced Banapple Turmeric Smoothie,240.00 CUP,77.2,1.03,0.15,NA,NA,21.53,15.74,1.96,10.48,1.96,1.91,33.61,2.41,5.49,0.7,0,0,N/A,N/A,Soy,"Water, Soymilk (Filtered Water, Soybeans), Cane Sugar, Contains 2% Or Less Of: Vitamin And Mineral Blend (Calcium Carbonate, Vitamin A Palmitate, Vitamin D2, Riboflavin B2, Vitamin B12), Sea Salt, Sodium Ascorbate (Vitamin C To Protect Freshness), Natural Flavor, Gellan Gum, Fuji Apples., Bananas, Turmeri"
Frank_Breakfast_Cheese Pizza,Frank,Breakfast,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frank_Breakfast_Pepperoni Pizza,Frank,Breakfast,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extra"
Frank_Breakfast_Garlic Cheese Bread Pizza Squares 2 Each,Frank,Breakfast,Pizza,Garlic Cheese Bread Pizza Squares 2 Each,154.20 SERV,423.16,20.84,7.36,NA,39.68,1072.92,40.49,2.2,2.1,NA,19.77,372.12,2.95,439.02,2.32,37.89,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup,Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme);Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative);Soybean Oil, Water, Cultured Buttermilk, Vinegar, High Fructose Corn Syrup, Buttermilk, Salt, Contains less than 2% of Dehydrated Onion, Egg Yolk, Garlic Powder, Lactic Acid, Monosodium Glutamate, Onion Powder, Phosphoric Acid, Polysorbate 60, Potassium Sorb"
Frank_Breakfast_Stromboli Pizza,Frank,Breakfast,Pizza,Stromboli Pizza,238.78 EA,574.15,33.22,14.95,NA,93.12,2078.44,36.56,3,4.32,NA,31.81,666.88,4.21,486.05,3.49,0,0,N/A,N/A,"Milk, Soy, Wheat","Enriched Unbleached Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron As Ferrous Sulfate, Thiamine Mononitrate, Enzyme, Riboflavin, Folic Acid), Water, Yeast, High Fructose Corn Syrup, Contains Less Than 2% Of The Following: Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme., Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid., Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Pasteurized"
Frank_Breakfast_OUTDOOR OMELET BAR/description,Frank,Breakfast,Grill Station,OUTDOOR OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork"
Frank_Breakfast_Scrambled Eggs,Frank,Breakfast,Grill Station,Scrambled Eggs,85.05 SHT4,117.65,7.55,2.73,0,301.16,115.15,0,0,0,NA,10.63,531.45,NA,70.86,1.92,0,0,N/A,N/A,Egg,"Cage Free Whole Eggs, Citric Acid, 0,15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil"
Frank_Breakfast_Scrambled Egg Whites,Frank,Breakfast,Grill Station,Scrambled Egg Whites,85.00 SHT4,46.2,0,0,0,0,147.82,0,0,0,NA,9.24,0,0,0,0,0,0,N/A,N/A,Egg,"Egg Whites, Triethyl Citrate Added As A Whipping Agent"
Frank_Breakfast_Vegetarian Sausage Patty,Frank,Breakfast,Grill Station,Vegetarian Sausage Patty,29.00 SHT2,53.42,1.91,0,0,0,190.79,3.05,0.76,0.76,NA,6.87,0,0,0,1.37,0,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Water, Wheat Gluten, Soy Flour, Egg Whites, Corn Oil, Soy Protein Concentrate, Sodium Caseinate, Modified Tapioca Starch, Contains Two Percent Or Less Of Lactose, Soybean Oil (With Tbhq For Freshness), Soy Protein Isolate, Autolyzed Yeast Extract, Spices, Natural And Artificial Flavors, Methylcellulose, Sodium Tripolyphosphate, Salt, Hydrolyzed Wheat Gluten, Disodium Inosinate, Caramel Color, Modified Corn Starch, Whey, Hydrolyzed Corn Gluten, Maltodextrin, Hydrolyzed Soy Protein, Potassium Chloride, Dextrose, Onion Powder, Disodium Guanylate, Tetrasodium Pyrophosphate,"
Frank_Breakfast_Crispy Cubed Potatoes,Frank,Breakfast,Grill Station,Crispy Cubed Potatoes,56.70 FHP2,70.71,2.57,0.32,0,0,282.86,12.86,0.64,0.64,0,1.29,NA,3.08,0,0.46,135,0,N/A,N/A,"Soy, Wheat","Potatoes, Vegetable Oil (contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Bleached Enriched Wheat Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid). Contains 2% Or Less Of Caramel Color, Cocoa Powder (processed With Alkali), Degermed Yellow Corn Meal, Dextrin, Dextrose, Garlic Powder, Leavening (sodium Acid Pyrophosphate, Sodium Bicarbonate), Natural Garlic Flavor, Onion Powder, Paprika Extract (color), Rice Flour, Salt, Sodium Acid Pyrophosphate Added To Maintain Color, Spices, Tapioca Starch, Tapioca Starch -"
Frank_Breakfast_Daily Special,Frank,Breakfast,Grill Station,Daily Special,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Grilled Caprese Sandwich,Frank,Breakfast,Grill Station,Grilled Caprese Sandwich,185.00 EA,413.07,23.57,8.03,NA,38.62,664.79,35.02,1.62,4.24,NA,14.21,1029.47,7.18,254.78,1.83,23.25,0,N/A,N/A,"Milk, Wheat","Unbleached Enriched Wheat Flour (Wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), Water, Enriched Semolina Flour (semolina flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), Whole Wheat Flour, Salt, Malt.;Heirloom Tomatoes;Pasteurized milk, vinegar,enzymes, salt.;Basil, Canola Oil, Water, Parmesan Cheese (Cultured Part-Skim Milk, Salt, Enzymes), Olive Oil, Garlic Puree, 2% Or Less Of Salt, Ascorbic Acid, Chamomile Extract, Rosemary Extract.;Basil;Balsamic Glaze (Balsamic vinegar of Modena (wine vinegar, concentrated"
Frank_Breakfast_Garlic Fries,Frank,Breakfast,Grill Station,Garlic Fries,85.00 FHP2,108.97,3.42,0.22,NA,0,246.7,17.7,1.57,0.2,NA,2.4,78.27,9.99,36.33,0.77,77.71,0,N/A,N/A,Soy,"Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2% or less of Dextrose, Sodium Acid Pyrophosphate Added To Maintain Natural Color.);Garlic;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;Garlic;Parsley;Seasoned Salt (Salt, Sugar, Maltodextrin, Chili Pepper, Onion, Garlic, Spices (Including Red Pepper), Spice And Coloring, Extractives Of Paprika, And Natural Flavor.);"
Frank_Breakfast_Gluten Free Oatmeal/GAL,Frank,Breakfast,Soup Station,Gluten Free Oatmeal/GAL,234.45 GAL,214.89,3.7,0.63,NA,0,10.51,38.39,5.73,0.56,NA,7.46,0,0,34.82,2.41,0,0,N/A,N/A,,"Water, Whole Grain Oats"
Frank_Breakfast_Chicken Udon Soup/BM,Frank,Breakfast,Soup Station,Chicken Udon Soup/BM,236.00 BM,82.29,0.99,0.14,0,18.77,709.99,10.82,0.65,1.89,NA,7.25,28.96,0.66,10.84,0.27,1.94,0,N/A,N/A,"Soy, Wheat","Water, Udon (Flour, Salt, Starch, Water), Chicken Breast Skinless, Shiitake Mushroom, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Chicken Meat Including Natural Juices, Salt, Cane Sugar, Maltodextrin, Flavoring, Yeast Extract, Potato Starch, Turmeric, Natural Flavor, Green Onion, Brown Sugar, Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative)), Ginger, Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite As Prese"
Frank_Breakfast_Edamame Shiitake Salad,Frank,Breakfast,Salad Bar,Edamame Shiitake Salad,85.00 HHP4,90.99,5.41,0.55,0.01,NA,113.7,7.05,2.96,2.26,NA,4.93,75.76,7.13,29.46,1.04,15.34,0,N/A,N/A,"Soy, Sesame","Shiitake Mushroom, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative), Jalapeno, Ginger, Kosher Salt, Scallions, Edamame, Orange, Sesame Seed Oil, Canola Oil, Black Pepper"
Frank_Breakfast_Berry and Yogurt Bar on Deli Station,Frank,Breakfast,Salad Bar,Berry and Yogurt Bar on Deli Station,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frank_Breakfast_Assorted Breakfast Desserts/NO NUTS,Frank,Breakfast,Desserts,Assorted Breakfast Desserts/NO NUTS,1.00 EA,17.5001,0.75,0.1875,0,0.625125,14.3749,2.625,0,1.37512,NA,0.124875,NA,0,0,0,4.61E-11,4.61E-11,N/A,N/A,"Egg, Milk, Soy, Wheat","May Contain Egg, Milk, Soy, Tree Nut (Coconut), Wheat and/or Gelatin"
Frank_Breakfast_Buttermilk Coffee Cake,Frank,Breakfast,Desserts,Buttermilk Coffee Cake,117.00 SLCE,404.62,10.29,5.41,0,37.44,905.3,78.25,0.59,65.84,NA,2.54,278.36,0.12,459.33,1.58,13.17,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Cane Sugar;Cultured Lowfat Milk, Salt, Modified Food Starch (Corn), Locust Bean Gum, Carrageenan, Sodium Citrate, Vitamin A Palmitate and Vitamin D3;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Unsalted Butter (Pasteurized Cream);Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate, Cornstarch).;Egg;Expeller-Pressed Natural Oil Blend (Soybean, Palm Fruit, Canola and Olive)., Filtered Water, Pure Salt, Natural Flavor (Derived from Corn, No MSG, No Alcohol, No Gluten), Soy Protein, Soy Lecithin, La"
Frank_Breakfast_Birthday Blondies,Frank,Breakfast,Desserts,Birthday Blondies,5029.97 SHEE,15885.3,440.254,231.182,16.1933,2979.83,3727.01,2778.15,21.4322,2087.27,NA,239.768,4276.79,8.06383,2259.02,52.3139,881.18,6.19E-08,N/A,N/A,"Egg, Milk, Soy, Wheat","Cane Sugar;Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Egg;Sugar; Nonfat Milk; Hydrogenated Vegetable Oil Palm Kernel Oil; Soybean Oil; Palm Oil; Palm Kernel Oil; Contains 2% Or Less Of: Cornstarch; Artificial Flavor; Salt; Lecithin (Soy).;Rainbow Sprinkles (Sugar, Corn Starch, Palm and Palm Kernel OIl, Soy Lecithin, Dextrin, Confectioners Glaze, Carnauba Wax, FDC Colors, Yellow #5 Lake, Yellow #6, Lake Red #40 Lake, Blue #1 Lake, FDC Red #3);Koshe"
Frank_Breakfast_Southern Bread Pudding with Brandy Sauce,Frank,Breakfast,Desserts,Southern Bread Pudding with Brandy Sauce,148.00 SERV,442.03,15.71,9.25,0.01,114.81,147.41,70.47,0.2,63.66,NA,6.34,594.52,0.48,107.51,0.77,0.64,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Cane Sugar;Milk, Vitamin D3;Brown Sugar;Egg;Unsalted Butter (Pasteurized Cream);Evaporated Milk (Skim Milk, Partially Hydrogentaed Soybean OIl, Disodium Phosphate, Carrageenan, Vitamin A Palmitate, Vitamin D3);Sweetened Condensed Milk (Concentrated Whole Milk, Sugar);Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sour Culture, Salt, Yeast, Semolina.;Sweet Cream, Natural Flavor;Brandy;Flavoring/Imitation/Vanilla Extract;"
Frank_Breakfast_Vegan Carrot Cake,Frank,Breakfast,Desserts,Vegan Carrot Cake,108.00 SHEE,204.86,1.59,0.26,NA,NA,235.73,46.02,1.65,29.54,NA,2.28,5661.63,2.25,16.67,1.16,129.05,0,N/A,N/A,"Soy, Wheat","Carrot, Cane Sugar, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Apples, Water, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Water, Sugar, Cornstarch, Sodium Bicarbonate, Cinnamon, Nutmeg, Ginger, Allspice, Iodized Salt, Potato Starch, Tapioca Flour, Leavening (Calcium Lactate, Calciumcarbonate, Citric Acid), Cellulose Gum Modified Cellulose, Whole Soy Flour"
Frank_Dinner_Chicken Fried Steak w/ Country Sausage Gravy,Frank,Dinner,Mainline,Chicken Fried Steak w/ Country Sausage Gravy,113.00 FHP2,246.65,17.91,6.82,0.05,47.69,455.55,11.44,0.47,1.9,NA,9.83,48.15,2.79,56.21,1.3,1.21,0,N/A,N/A,"Milk, Soy, Wheat","Beef, Salt, Sodium Phosphate, Enriched Bleached Wheat Flour (Enriched With Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Spices, Salt, Leavening (Sodium Aluminum Phosphate, Sodium Bicarbonate), Yeast, Partially Hydrogenated Soybean Oil, Onion Powder, Water, Enriched Wheat Flour (Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Wheat Starch, Wheat Flour, Salt, Buttermilk Blend (Buttermilk, Whey), Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate), Spice, Milk, Vitamin D3, Po"
Frank_Dinner_Country Sausage Gravy,Frank,Dinner,Mainline,Country Sausage Gravy,59.00 CUP,229.79,21.7,12.52,NA,74.84,182.71,1.97,0.14,0.11,NA,2.97,491.44,2.49,1.58,0.26,2.33,0,N/A,N/A,"Milk, Wheat","Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Pork, Water, Salt, Spices, Sugar, Dextrose, Natural Flavorings, White Onion, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Kosher Salt, Black Pepper"
Frank_Dinner_Grilled Portobello Steak,Frank,Dinner,Mainline,Grilled Portobello Steak,99.00 SERV,54.38,1.3,0.12,0,NA,1602.24,5.66,0.9,1.79,NA,4.91,0.33,1.14,8.54,0.26,245.51,6.34,N/A,N/A,Soy,"Portobello Mushroom, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness), Garlic, Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative), Canola Oil, Virgin Olive Oil, Beta-Carotene (Color)"
Frank_Dinner_Garlic Mashed Potatoes,Frank,Dinner,Mainline,Garlic Mashed Potatoes,85.00 FHP2,124.85,8.05,5.17,NA,26.78,169.77,11.24,1.18,0.96,NA,1.44,287.31,6.14,12.87,0.52,5.24,0,N/A,N/A,Milk,"Red Potato, Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80. (Vegetarian), Unsalted Butter (Pasteurized Cream), Cultured Pasteurized Milk, Cream, Skim Milk, Modified Food Starch, Sodium Phosphate, Guar Gum, Calcium Sulfate, Carrageenan, Locust Bean Gum, Garlic, Kosher Salt, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, White Pepper, Chives"
Frank_Dinner_Roasted Vegetables,Frank,Dinner,Mainline,Roasted Vegetables,56.50 SERV,131.2,9.45,0.76,0.04,0,148.02,11.61,2.73,4.78,NA,1.72,6778.63,14.39,42.17,0.65,142.59,0,N/A,N/A,,"Carrot, Red Onion, Yellow Squash, Canola Oil, Garlic, Ginger, Clove, Ground Allspice, Kosher Salt, Black Pepper, Chives"
Frank_Dinner_Muffin/Corn Bread,Frank,Dinner,Mainline,Muffin/Corn Bread,64.00 EA,240,13,2.5,0,50,220,29,0,14,NA,3,NA,0,150,1.08,NA,NA,N/A,N/A,"Egg, Milk, Soy, Wheat","Sugar, Eggs, Soybean Oil, Enriched Bleached Wheat Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Degerminated Yellow Corn Meal, Rice Flour, Modified Corn Starch, Contains 2% Or Less Of: Leavening (Sodium Aluminum Phosphate , Baking Soda, Monocalcium Phosphate), Propylene Glycol Monostearate, Mono- And Diglycerides, Sodium Stearoyl Lactylate, Whey (Milk), Salt, Soy Flour, Wheat Gluten, Potassium Sorbate (Preservative), Nonfat Milk, Xanthan Gum, Calcium Sulfate, Enzymes."
Frank_Dinner_(AF) Soyrizo and Potato Taco,Frank,Dinner,Expo Station,(AF) Soyrizo and Potato Taco,149.00 EA,184.66,4.17,0.28,0.01,0,248.75,32.95,4.79,2.18,NA,4.99,859.03,16.14,32.01,2.96,164.19,0,N/A,N/A,Soy,"Corn Tortilla (Corn Masa Flour, Water, Contains 2% Or Less Of: Cellulose Gum, Guar Gum, Amylase, And Propionic Acid And Benzoic Acid (To Maintain Freshness)., Potato, Cilantro, Soyrizo (Water, Textured Soy Protein (Soy Flour), Distilled Vinegar, Seasoning Blend (Spices, Salt, Dextrose, Paprika, Onion Powder, Garlic Powder) Soybean Oil, Caramel Color, Salt, Xanthan Gum, Extractives Of Paprika), White Onion, Whole Green Chilies (Green Chilies, Water, Salt, Citric Acid, Calcium Chloride), Red Cabbage, Lime, Avocado, Tomato, Canola Oil, Mango, Jalapeno, Avocado, Yellow Onion, Tomato, Onion, Li"
